City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Busselton,AU,2021-06-01 23:07:28,-33.65,115.3333,55.04,71,100,5.99
68,Llangefni,GB,2021-06-01 23:05:43,53.2556,-4.3106,62.38,67,71,6.2
69,Georgetown,MY,2021-06-01 23:07:29,5.4112,100.3354,79.9,88,20,5.26
70,Shingu,JP,2021-06-01 23:07:29,33.7333,135.9833,70.92,76,100,7.31
71,Xinzhou,CN,2021-06-01 23:07:30,38.4092,112.7333,66.67,63,48,1.07
72,Tessalit,ML,2021-06-01 23:07:30,20.1986,1.0114,94.05,8,34,5.55
73,Camana,PE,2021-06-01 23:07:31,-16.6228,-72.7111,65.32,88,97,7.2
74,Cabo San Lucas,MX,2021-06-01 23:04:22,22.8909,-109.9124,96.8,17,40,11.5
75,Kapaa,US,2021-06-01 23:07:31,22.0752,-159.319,84.52,70,20,1.99
76,Cidreira,BR,2021-06-01 23:07:32,-30.1811,-50.2056,59.52,73,45,8.63
77,Avarua,CK,2021-06-01 23:07:32,-21.2078,-159.775,80.65,57,20,6.91
78,Saint-Philippe,RE,2021-06-01 23:07:33,-21.3585,55.7679,74.79,86,80,13.06
79,Sorland,NO,2021-06-01 23:07:33,67.667,12.6934,50.45,77,1,9.42
80,Haines Junction,CA,2021-06-01 23:07:34,60.7522,-137.5108,53.92,59,22,10.47
81,Safford,US,2021-06-01 23:07:34,32.834,-109.7076,94.51,15,1,26.46
82,Shumskiy,RU,2021-06-01 23:07:35,54.8318,99.1328,52.5,65,0,3.8
83,Victoria,HK,2021-06-01 23:07:35,22.2855,114.1577,82.94,89,100,1.01
84,Hoopstad,ZA,2021-06-01 23:07:36,-27.8327,25.9083,42.85,53,2,8.95
85,Steamboat Springs,US,2021-06-01 23:03:10,40.485,-106.8317,74.34,22,1,14.97
86,Kupang,ID,2021-06-01 23:07:37,-10.1667,123.5833,79.38,78,40,8.05
87,Filingue,NE,2021-06-01 23:07:37,14.3521,3.3168,93.11,13,1,6.6
