City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chifeng,CN,42.2683,118.9636,54.88,63,89,9.64,moderate rain
80,Kahului,US,20.8947,-156.47,86.02,64,40,20.71,scattered clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,80.56,87,51,4.0,broken clouds
82,Qasigiannguit,GL,68.8193,-51.1922,35.02,90,91,5.68,overcast clouds
83,Namibe,AO,-15.1961,12.1522,70.81,83,25,6.67,scattered clouds
84,Khatanga,RU,71.9667,102.5,31.91,89,100,5.77,light snow
85,Narsaq,GL,60.9167,-46.05,52.02,68,84,5.26,broken clouds
86,Houma,US,29.5958,-90.7195,87.01,75,100,1.99,overcast clouds
87,Saskylakh,RU,71.9167,114.0833,33.37,99,100,9.28,snow
88,La Ronge,CA,55.1001,-105.2842,73.65,56,75,2.3,broken clouds
89,Aklavik,CA,68.2191,-135.0107,49.03,70,90,8.05,overcast clouds
90,Norden,DE,53.6,7.2,64.38,93,34,8.01,scattered clouds
91,Ormara,PK,25.2088,64.6357,84.79,77,66,4.76,broken clouds
92,Suoyarvi,RU,62.0833,32.35,55.11,72,0,1.05,clear sky
93,Tsumeb,NA,-19.2333,17.7167,40.55,24,0,10.22,clear sky
94,Saint-Philippe,RE,-21.3585,55.7679,71.15,72,20,12.39,few clouds
95,Praia,CV,14.9215,-23.5087,73.94,78,75,16.11,broken clouds
96,Tecpan,GT,14.7623,-90.9947,65.44,79,92,2.93,overcast clouds
97,Bredasdorp,ZA,-34.5322,20.0403,56.28,81,100,4.21,overcast clouds
98,Cairns,AU,-16.9167,145.7667,66.07,100,53,0.0,broken clouds
99,Tokur,RU,53.1333,132.9,49.24,78,100,10.18,overcast clouds
100,Dingle,PH,10.9995,122.6711,76.46,87,100,2.06,light rain
101,Pangnirtung,CA,66.1451,-65.7125,39.2,60,90,9.22,overcast clouds
102,Uvira,CD,-3.4067,29.1458,72.72,75,91,3.22,overcast clouds
103,Batagay-Alyta,RU,67.8006,130.4114,61.32,55,79,4.56,broken clouds
104,Viedma,AR,-40.8135,-62.9967,55.94,70,100,8.43,overcast clouds
105,Thompson,CA,55.7435,-97.8558,57.36,44,75,4.61,broken clouds
106,Guerrero Negro,MX,27.9769,-114.0611,74.12,50,5,12.46,clear sky
107,Qaanaaq,GL,77.484,-69.3632,29.35,81,28,2.46,scattered clouds
108,Diamantino,BR,-14.4086,-56.4461,82.42,42,2,2.62,clear sky
109,Malatya,TR,38.5,38.0,64.45,30,0,6.42,clear sky
110,Provideniya,RU,64.3833,-173.3,35.71,69,90,13.42,overcast clouds
111,Atuona,PF,-9.8,-139.0333,79.12,82,54,18.68,light rain
112,Saint George,US,37.1041,-113.5841,106.63,10,1,7.0,clear sky
113,Ankazobe,MG,-18.3167,47.1167,55.81,87,20,2.53,few clouds
114,Oksfjord,NO,70.2396,22.3479,55.47,60,10,2.44,clear sky
115,Naze,JP,28.3667,129.4833,76.42,91,100,16.84,overcast clouds
116,Bay Roberts,CA,47.5999,-53.2648,74.95,57,84,9.8,broken clouds
117,Bathsheba,BB,13.2167,-59.5167,83.01,61,75,17.49,broken clouds
118,Taltal,CL,-25.4,-70.4833,61.43,85,50,3.98,scattered clouds
119,Tasiilaq,GL,65.6145,-37.6368,37.89,76,72,4.97,broken clouds
120,Kieta,PG,-6.2167,155.6333,80.33,80,100,2.51,overcast clouds
121,Narrabri,AU,-30.3167,149.7833,50.52,87,75,2.3,broken clouds
122,Avarua,CK,-21.2078,-159.775,80.65,74,75,4.61,broken clouds
123,Iqaluit,CA,63.7506,-68.5145,33.53,74,75,11.01,broken clouds
124,Luancheng,CN,37.8792,114.6517,64.56,19,0,7.92,clear sky
125,Qesarya,IL,32.5189,34.9046,71.24,67,26,5.88,scattered clouds
126,Takoradi,GH,4.8845,-1.7554,80.47,84,37,8.37,scattered clouds
127,Soyo,AO,-6.1349,12.3689,77.59,87,66,10.11,broken clouds
128,Sesheke,ZM,-17.4759,24.2968,51.96,26,0,5.37,clear sky
129,Noumea,NC,-22.2763,166.4572,69.01,99,3,3.91,clear sky
130,Roma,US,43.2128,-75.4557,76.86,83,90,9.22,overcast clouds
131,Kupang,ID,-10.1667,123.5833,76.08,87,44,7.4,scattered clouds
132,Vaini,TO,-21.2,-175.2,71.76,88,40,0.0,light rain
133,Forrest City,US,35.0081,-90.7898,80.46,49,53,7.92,broken clouds
134,Komsomolskiy,UZ,40.4272,71.7189,79.52,31,14,2.3,few clouds
135,Sao Filipe,CV,14.8961,-24.4956,74.07,77,8,6.08,clear sky
136,Castro,BR,-24.7911,-50.0119,61.93,86,15,0.89,few clouds
137,San Patricio,US,28.017,-97.5169,84.07,63,95,10.58,overcast clouds
138,Goderich,CA,43.7501,-81.7165,77.04,73,26,9.22,scattered clouds
139,Matadi,CD,-5.8167,13.45,76.69,82,18,4.85,few clouds
140,Aykhal,RU,66.0,111.5,52.23,67,100,4.83,overcast clouds
141,Muktsar,IN,30.4833,74.5167,87.85,41,70,4.27,broken clouds
142,Esperance,AU,-33.8667,121.9,53.44,81,0,10.02,clear sky
143,Yellowknife,CA,62.456,-114.3525,64.92,52,90,0.0,light rain
144,Mehamn,NO,71.0357,27.8492,59.18,44,0,12.66,clear sky
145,Atambua,ID,-9.1061,124.8925,71.42,90,17,4.52,few clouds
146,Zhezkazgan,KZ,47.8043,67.7144,67.82,63,0,6.71,clear sky
147,Fort Nelson,CA,58.8053,-122.7002,71.19,26,40,5.75,scattered clouds
148,Chuy,UY,-33.6971,-53.4616,52.93,62,42,6.04,scattered clouds
149,Massaguet,TD,12.4755,15.4365,96.84,27,1,3.44,clear sky
150,Akureyri,IS,65.6835,-18.0878,49.93,57,0,5.75,clear sky
151,Port Elizabeth,ZA,-33.918,25.5701,44.89,93,40,4.61,scattered clouds
152,Qandala,SO,11.472,49.8728,87.91,63,51,3.13,broken clouds
153,Zhangjiakou,CN,40.81,114.8794,59.49,37,17,10.02,few clouds
154,Gao,ML,16.6362,1.637,99.36,11,70,10.16,broken clouds
155,Smidovich,RU,48.6,133.8167,53.17,99,100,4.0,light rain
156,Akkermanovka,RU,51.2467,58.2391,60.58,77,100,13.51,overcast clouds
157,Dondo,MZ,-19.6094,34.7431,72.91,69,0,6.15,clear sky
158,Mount Gambier,AU,-37.8333,140.7667,44.51,87,42,5.75,scattered clouds
159,Eureka,US,40.8021,-124.1637,70.12,75,40,5.01,scattered clouds
160,Evensk,RU,61.95,159.2333,43.81,78,25,5.93,scattered clouds
161,Ondjiva,AO,-17.0667,15.7333,55.87,29,0,7.87,clear sky
162,Aitape,PG,-3.1374,142.3475,77.45,85,22,4.0,few clouds
163,Kodiak,US,57.79,-152.4072,46.67,81,74,6.8,broken clouds
164,Pitmoaga,BF,12.2397,-1.8767,85.62,30,25,14.67,light rain
165,Kem,RU,64.9555,34.5793,59.94,63,55,8.43,broken clouds
166,Loikaw,MM,19.6742,97.2094,70.92,83,95,2.82,overcast clouds
167,Longyearbyen,SJ,78.2186,15.6401,29.86,91,25,7.27,scattered clouds
168,Tovarkovo,RU,54.6762,35.9386,54.03,90,6,6.78,clear sky
169,Skhisma,GR,35.2667,25.7167,66.15,61,0,8.97,clear sky
170,Kruisfontein,ZA,-34.0033,24.7314,49.68,68,10,6.06,clear sky
171,Fairbanks,US,64.8378,-147.7164,69.03,37,75,9.22,broken clouds
172,Severo-Kurilsk,RU,50.6789,156.125,44.13,76,36,10.04,scattered clouds
173,Tuatapere,NZ,-46.1333,167.6833,49.82,87,100,7.4,overcast clouds
174,Vzmorye,RU,54.6961,20.2361,55.49,82,43,5.44,scattered clouds
175,Pacifica,US,37.6138,-122.4869,92.26,72,20,4.0,few clouds
176,Teya,RU,60.3778,92.6267,42.67,82,99,3.2,overcast clouds
177,Gigmoto,PH,13.7796,124.39,80.55,85,100,3.6,overcast clouds
178,Ullapool,GB,57.8987,-5.1604,65.35,77,99,3.56,overcast clouds
179,Rocha,UY,-34.4833,-54.3333,51.26,72,72,6.55,broken clouds
180,Loreto,MX,22.2667,-101.9667,71.96,43,99,10.69,overcast clouds
181,Axim,GH,4.8699,-2.2405,80.24,84,23,7.65,few clouds
182,Port Lincoln,AU,-34.7333,135.8667,57.96,78,41,10.92,scattered clouds
183,Rio Claro,BR,-22.4114,-47.5614,82.22,51,0,3.22,clear sky
184,Mezen,RU,65.8522,44.24,54.14,74,30,5.68,scattered clouds
185,Carutapera,BR,-1.195,-46.02,78.66,85,22,7.78,light rain
186,Waipawa,NZ,-41.4122,175.5153,53.02,83,42,4.85,scattered clouds
187,Faanui,PF,-16.4833,-151.75,79.95,79,67,9.95,light rain
188,Vallenar,CL,-28.5708,-70.7581,73.17,43,52,5.35,broken clouds
189,Dalby,AU,-27.1833,151.2667,52.5,99,0,1.01,clear sky
190,Kulhudhuffushi,MV,6.6221,73.07,82.45,78,95,16.51,overcast clouds
191,Luanda,AO,-8.8368,13.2343,77.0,88,20,5.75,few clouds
192,Katsuura,JP,35.1333,140.3,72.1,88,99,21.88,moderate rain
193,Cidreira,BR,-30.1811,-50.2056,60.06,78,0,6.53,clear sky
194,Sand,DE,50.0,10.6,69.08,92,100,2.84,overcast clouds
195,Termiz,UZ,37.2242,67.2783,96.03,34,0,0.0,clear sky
196,Tautira,PF,-17.7333,-149.15,84.22,82,49,16.04,light rain
197,Korla,CN,41.7597,86.1469,79.0,22,84,3.56,broken clouds
198,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,40,17.09,light rain
199,Manakara,MG,-22.1333,48.0167,68.49,93,32,6.69,scattered clouds
200,Cururupu,BR,-1.8283,-44.8683,76.03,93,25,3.29,scattered clouds
201,Katangli,RU,51.7102,143.2326,43.03,97,100,11.7,overcast clouds
202,Tiksi,RU,71.6872,128.8694,32.29,91,100,5.7,light snow
203,Codrington,AU,-38.2667,141.9667,51.31,75,62,17.87,broken clouds
204,Jacareacanga,BR,-6.2222,-57.7528,84.36,61,63,2.64,broken clouds
205,Shuangcheng,CN,45.35,126.2833,51.48,84,100,10.49,overcast clouds
