City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Fasa,IR,79.84,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
446,Wamba,NG,74.8,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
450,Fereydun Kenar,IR,72.1,scattered clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
452,Poum,NC,74.17,overcast clouds,-20.2333,164.0167,Gîte kajeon
456,Margosatubig,PH,78.39,overcast clouds,7.5777,123.1658,Ojic billiard center
463,Kefamenanu,ID,71.91,broken clouds,-9.4467,124.4781,Sokowindo Losmen
465,Selcuk,TR,71.02,clear sky,37.9514,27.3685,Archeologica House Ephesus
477,Chapais,CA,76.78,broken clouds,49.7834,-74.8492,Hôtel Opémiska
481,Ahmadnagar,IN,79.03,broken clouds,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
490,Porto Walter,BR,78.84,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
492,San Felipe,VE,78.75,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
494,Pemangkat,ID,79.59,scattered clouds,1.1667,108.9667,Ramah Kost KITA
495,Bandarbeyla,SO,79.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
498,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
507,Padang,ID,78.53,overcast clouds,-0.9492,100.3543,Mercure Padang
509,Sechura,PE,75.11,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
510,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
515,Longyan,CN,76.41,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
523,Matara,LK,78.55,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
524,Manokwari,ID,76.96,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
527,North Myrtle Beach,US,78.13,broken clouds,33.816,-78.68,Avista Resort
528,Merrill,US,74.12,overcast clouds,45.1805,-89.6835,Prairie Motel
535,La Calera,AR,76.68,clear sky,-31.3438,-64.3353,Los Jazmines
536,Antalaha,MG,70.56,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
542,Grand Gaube,MU,74.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
548,Isangel,VU,74.98,scattered clouds,-19.55,169.2667,Tanna Lodge
550,Nichinan,JP,76.62,overcast clouds,31.6,131.3667,Guest House Aki
551,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
558,Ambon,ID,78.3,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
570,Dawei,MM,79.45,broken clouds,14.0833,98.2,Hotel Dawei
577,Buin,CL,75.52,overcast clouds,-33.7333,-70.75,Paihuen
584,Omboue,GA,76.62,clear sky,-1.5746,9.2618,Hotel Olako
585,High Level,CA,73.51,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
586,Pangai,TO,73.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
593,Presidencia Roque Saenz Pena,AR,78.48,few clouds,-26.7852,-60.4388,Hotel Gualok
595,Minna,NG,74.91,light rain,9.6139,6.5569,Royal Park hotel & suites
596,Erlenbach,DE,70.27,overcast clouds,49.1725,9.2683,Vienna House Easy Neckarsulm
598,Pangkalanbuun,ID,73.29,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
600,Camalu,MX,78.42,clear sky,30.85,-116.0667,La Cueva del Pirata
601,Honiara,SB,79.59,overcast clouds,-9.4333,159.95,Heritage Park Hotel
614,Lucapa,AO,70.39,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
616,Villamontes,BO,74.68,overcast clouds,-21.25,-63.5,Hotel Raldes
